scheibe_id,lochkreis,werkstoff,werkzeug_id,bohrung_nr,VB,VBmax,isp_max,isp_mittel,isp_std,iz_max,iz_mittel,iz_std
2,aussen,DA718,19,10,112.16666666666667,150.66666666666666,0.615,0.5,0.1368,1.27,1.16,0.079
2,aussen,DA718,19,14,135.5,164.83333333333334,0.711,0.5705,0.1605,1.304,1.1678,0.0811
2,aussen,DA718,19,18,154.16666666666666,178.5,0.807,0.6454,0.1801,1.27,1.166,0.06
2,aussen,DA718,20,2,43.833333333333336,119.83333333333333,0.458,0.3601,0.0996,1.2,1.103,0.076
2,aussen,DA718,20,6,81.0,142.66666666666666,0.561,0.4429,0.1276,1.26,1.168,0.082
2,aussen,DA718,20,10,110.16666666666667,159.33333333333334,0.697,0.5659,0.1483,1.25,1.155,0.074
2,aussen,DA718,20,14,137.16666666666666,176.5,0.697,0.5524,0.15,1.29,1.189,0.082
2,aussen,DA718,20,18,157.16666666666666,189.33333333333334,0.772,0.6231,0.1765,1.31,1.195,0.082
2,aussen,DA718,21,2,47.5,139.5,0.41,0.3251,0.094,1.23,1.131,0.081
2,aussen,DA718,21,6,76.16666666666667,158.0,0.526,0.4229,0.1223,1.25,1.144,0.073
2,aussen,DA718,21,10,111.0,174.66666666666666,0.697,0.5249,0.1543,1.26,1.169,0.063
2,aussen,DA718,21,14,142.0,191.83333333333334,0.711,0.5572,0.1571,1.28,1.174,0.084
2,aussen,DA718,21,18,163.33333333333334,204.83333333333334,0.745,0.5708,0.1663,1.29,1.193,0.089
2,aussen,DA718,22,2,45.5,121.83333333333333,0.465,0.36,0.0996,1.18,1.075,0.082
2,aussen,DA718,22,6,84.16666666666667,149.0,0.608,0.4766,0.1309,1.2,1.101,0.076
2,aussen,DA718,22,10,116.5,163.83333333333334,0.677,0.5531,0.1391,1.22,1.119,0.07
2,aussen,DA718,22,14,141.5,180.0,0.766,0.6064,0.1683,1.24,1.133,0.067
2,aussen,DA718,22,18,163.33333333333334,191.5,0.827,0.6621,0.182,1.26,1.162,0.086
2,innen,IN718,29,2,73.33333333333333,121.0,0.328,0.2389,0.0793,0.5951,0.49765,0.05221
2,innen,IN718,29,6,61.166666666666664,133.33333333333334,0.396,0.296,0.0988,0.624,0.5216,0.0565
2,innen,IN718,29,10,78.0,142.5,0.472,0.3501,0.1195,0.614,0.522,0.0693
2,innen,IN718,29,14,94.5,153.5,0.513,0.3854,0.1214,0.652,0.5437,0.0723
2,innen,IN718,29,18,109.5,166.5,0.554,0.4051,0.1319,0.652,0.5383,0.0785
2,innen,IN718,30,2,39.166666666666664,106.5,0.424,0.3052,0.1025,0.586,0.4901,0.0541
2,innen,IN718,30,6,60.833333333333336,119.66666666666667,0.472,0.3286,0.1104,0.609,0.5023,0.0766
2,innen,IN718,30,10,79.5,135.0,0.499,0.3712,0.1257,0.638,0.53,0.0672
2,innen,IN718,30,14,96.66666666666667,145.83333333333334,0.595,0.4365,0.1478,0.624,0.5201,0.0688
2,innen,IN718,30,18,111.66666666666667,156.83333333333334,0.629,0.4674,0.1639,0.647,0.5385,0.0688
2,innen,IN718,31,2,39.833333333333336,111.83333333333333,0.417,0.291,0.0894,0.595,0.5047,0.0533
2,innen,IN718,31,6,63.833333333333336,123.83333333333333,0.479,0.3483,0.1053,0.638,0.5356,0.0581
2,innen,IN718,31,10,81.16666666666667,135.0,0.561,0.3823,0.1173,0.643,0.5483,0.0731
2,innen,IN718,31,14,95.16666666666667,146.66666666666666,0.636,0.4369,0.1369,0.657,0.5556,0.0725
2,innen,IN718,31,18,110.5,156.66666666666666,0.684,0.4773,0.1598,0.676,0.5683,0.0806
2,innen,IN718,32,2,38.666666666666664,110.5,0.362,0.2489,0.0832,0.605,0.5047,0.0633
2,innen,IN718,32,6,58.333333333333336,123.0,0.424,0.3156,0.1059,0.643,0.5441,0.0647
2,innen,IN718,32,10,74.83333333333333,134.0,0.444,0.3374,0.1078,0.643,0.5402,0.0697
2,innen,IN718,32,14,97.0,148.66666666666666,0.492,0.3671,0.1172,0.647,0.5481,0.0778
2,innen,IN718,32,18,106.0,159.5,0.581,0.4393,0.1402,0.686,0.5821,0.0725
2,innen,IN718,33,2,37.166666666666664,112.33333333333333,0.355,0.2552,0.0851,0.609,0.5119,0.0506
2,innen,IN718,33,6,59.666666666666664,123.5,0.403,0.3034,0.1001,0.619,0.5228,0.0633
2,innen,IN718,33,10,77.83333333333333,138.83333333333334,0.431,0.3281,0.1003,0.662,0.5583,0.0736
2,innen,IN718,33,14,94.83333333333333,153.16666666666666,0.506,0.3723,0.1222,0.686,0.5752,0.0749
2,innen,IN718,33,18,105.83333333333333,166.33333333333334,0.513,0.3858,0.1313,0.686,0.5816,0.0796
2,innen,IN718,34,2,38.166666666666664,123.33333333333333,0.314,0.2174,0.0726,0.595,0.4941,0.0567
2,innen,IN718,34,6,60.166666666666664,133.33333333333334,0.383,0.2655,0.0904,0.614,0.5062,0.0679
2,innen,IN718,34,10,74.83333333333333,140.66666666666666,0.444,0.3232,0.1083,0.619,0.5179,0.0741
2,innen,IN718,34,14,92.5,153.0,0.472,0.3559,0.114,0.638,0.5271,0.0859
2,innen,IN718,34,18,103.83333333333333,166.16666666666666,0.526,0.3992,0.1251,0.652,0.5439,0.0728
2,mittel,IN718,23,2,42.666666666666664,121.16666666666667,0.33,0.209,0.107,0.6237,0.52947,0.07095
2,mittel,IN718,23,6,62.0,135.83333333333334,0.451,0.3271,0.1136,0.662,0.5507,0.087
2,mittel,IN718,23,10,81.83333333333333,149.5,0.533,0.3788,0.1341,0.662,0.5553,0.0877
2,mittel,IN718,23,14,95.33333333333333,158.66666666666666,0.567,0.4079,0.1451,0.652,0.5484,0.0964
2,mittel,IN718,23,18,114.83333333333333,168.66666666666666,0.615,0.4456,0.1592,0.681,0.575,0.0983
2,mittel,IN718,24,2,40.0,127.5,0.294,0.1943,0.0833,0.586,0.4769,0.0741
2,mittel,IN718,24,6,65.16666666666667,140.16666666666666,0.417,0.2917,0.1076,0.624,0.515,0.0774
2,mittel,IN718,24,10,83.16666666666667,150.83333333333334,0.472,0.3454,0.1296,0.614,0.5077,0.0888
2,mittel,IN718,24,14,103.5,163.83333333333334,0.506,0.381,0.1349,0.619,0.5101,0.0965
2,mittel,IN718,24,18,115.66666666666667,174.66666666666666,0.54,0.4031,0.1493,0.624,0.5233,0.0872
2,mittel,IN718,25,2,39.833333333333336,114.33333333333333,0.321,0.2358,0.0853,0.581,0.4845,0.0821
2,mittel,IN718,25,6,62.5,126.5,0.41,0.2966,0.1076,0.609,0.5057,0.0786
2,mittel,IN718,25,10,80.5,138.66666666666666,0.458,0.3321,0.1283,0.624,0.5219,0.0843
2,mittel,IN718,25,14,96.83333333333333,150.16666666666666,0.485,0.3541,0.1326,0.605,0.5016,0.0813
2,mittel,IN718,25,18,110.83333333333333,163.33333333333334,0.554,0.4111,0.1483,0.624,0.5091,0.0901
2,mittel,IN718,26,2,39.5,110.33333333333333,0.342,0.2503,0.0784,0.586,0.4832,0.0757
2,mittel,IN718,26,6,60.833333333333336,122.33333333333333,0.403,0.2892,0.1064,0.595,0.4925,0.0817
2,mittel,IN718,26,10,78.0,137.66666666666666,0.451,0.3319,0.1227,0.633,0.5254,0.0817
2,mittel,IN718,26,14,94.16666666666667,147.33333333333334,0.499,0.3826,0.134,0.662,0.5481,0.0856
2,mittel,IN718,26,18,108.16666666666667,160.0,0.547,0.4049,0.1486,0.638,0.5295,0.097
2,mittel,IN718,27,2,39.833333333333336,130.0,0.314,0.2273,0.0809,0.581,0.4751,0.0678
